score,word_count,cell_count,has_verbish,has_nounish,phrase,word1,instance_id1,start1,end1,path1,word2,instance_id2,start2,end2,path2,word3,instance_id3,start3,end3,path3,word4,instance_id4,start4,end4,path4,word5,instance_id5,start5,end5,path5,word6,instance_id6,start6,end6,path6
52,6,19,True,True,find the start a nine go,find,1,E1,H1,E1 -> F1 -> G1 -> H1,the,6,I1,J2,I1 -> J1 -> J2,start,7,K1,N1,K1 -> K2 -> L1 -> M1 -> N1,a,25,N2,N2,N2,nine,23,M2,K4,M2 -> M3 -> L4 -> K4,go,43,J3,K3,J3 -> K3
51,6,24,False,True,a decimal ten ten ten integer,a,101,I6,I6,I6,decimal,123,H7,D11,H7 -> G8 -> F9 -> E10 -> D10 -> C10 -> D11,ten,174,C12,C14,C12 -> B13 -> C14,ten,198,C13,E14,C13 -> D14 -> E14,ten,209,F14,H12,F14 -> G13 -> H12,integer,182,I12,M12,I12 -> I11 -> J10 -> K10 -> L10 -> M11 -> M12
51,6,24,False,True,decimal a ten ten ten integer,decimal,121,H7,B10,H7 -> G8 -> F9 -> E10 -> D10 -> C10 -> B10,a,152,B11,B11,B11,ten,174,C12,C14,C12 -> B13 -> C14,ten,198,C13,E14,C13 -> D14 -> E14,ten,209,F14,H12,F14 -> G13 -> H12,integer,182,I12,M12,I12 -> I11 -> J10 -> K10 -> L10 -> M11 -> M12
51,6,25,False,True,decimals a ten ten ten integer,decimals,122,H7,A11,H7 -> G8 -> F9 -> E10 -> D10 -> C10 -> B10 -> A11,a,152,B11,B11,B11,ten,174,C12,C14,C12 -> B13 -> C14,ten,198,C13,E14,C13 -> D14 -> E14,ten,209,F14,H12,F14 -> G13 -> H12,integer,182,I12,M12,I12 -> I11 -> J10 -> K10 -> L10 -> M11 -> M12
51,6,20,False,True,ten ten ten integer a six,ten,174,C12,C14,C12 -> B13 -> C14,ten,198,C13,E14,C13 -> D14 -> E14,ten,209,F14,H12,F14 -> G13 -> H12,integer,182,I12,M12,I12 -> I11 -> J10 -> K10 -> L10 -> M11 -> M12,a,203,L13,L13,L13,six,211,L14,N14,L14 -> M14 -> N14
51,6,20,False,True,ten ten ten integer a six,ten,205,A14,C14,A14 -> B13 -> C14,ten,198,C13,E14,C13 -> D14 -> E14,ten,209,F14,H12,F14 -> G13 -> H12,integer,182,I12,M12,I12 -> I11 -> J10 -> K10 -> L10 -> M11 -> M12,a,203,L13,L13,L13,six,211,L14,N14,L14 -> M14 -> N14
51,6,26,False,True,the decimal ten ten ten integer,the,99,G6,I7,G6 -> H6 -> I7,decimal,123,H7,D11,H7 -> G8 -> F9 -> E10 -> D10 -> C10 -> D11,ten,174,C12,C14,C12 -> B13 -> C14,ten,198,C13,E14,C13 -> D14 -> E14,ten,209,F14,H12,F14 -> G13 -> H12,integer,182,I12,M12,I12 -> I11 -> J10 -> K10 -> L10 -> M11 -> M12
50,6,21,True,True,get get go ninety nine ten,get,135,L9,M9,L9 -> M10 -> M9,get,145,L10,J10,L10 -> K10 -> J10,go,131,I9,I10,I9 -> I10,ninety,164,I11,F13,I11 -> I12 -> H12 -> G13 -> F14 -> F13,nine,208,E14,D14,E14 -> D13 -> C14 -> D14,ten,195,C13,A12,C13 -> B13 -> A12
50,6,21,True,True,get get go ninety nine ten,get,146,L10,M9,L10 -> M10 -> M9,get,134,L9,J10,L9 -> K10 -> J10,go,131,I9,I10,I9 -> I10,ninety,164,I11,F13,I11 -> I12 -> H12 -> G13 -> F14 -> F13,nine,208,E14,D14,E14 -> D13 -> C14 -> D14,ten,195,C13,A12,C13 -> B13 -> A12
50,6,22,True,True,get the get ninety nine ten,get,147,L10,N10,L10 -> M10 -> N10,the,137,M9,K8,M9 -> L8 -> K8,get,134,L9,J10,L9 -> K10 -> J10,ninety,164,I11,F13,I11 -> I12 -> H12 -> G13 -> F14 -> F13,nine,208,E14,D14,E14 -> D13 -> C14 -> D14,ten,195,C13,A12,C13 -> B13 -> A12
50,6,22,True,True,get the get ninety nine ten,get,148,L10,N10,L10 -> M11 -> N10,the,137,M9,K8,M9 -> L8 -> K8,get,134,L9,J10,L9 -> K10 -> J10,ninety,164,I11,F13,I11 -> I12 -> H12 -> G13 -> F14 -> F13,nine,208,E14,D14,E14 -> D13 -> C14 -> D14,ten,195,C13,A12,C13 -> B13 -> A12
50,6,21,False,True,ten ten ten integer by six,ten,174,C12,C14,C12 -> B13 -> C14,ten,198,C13,E14,C13 -> D14 -> E14,ten,209,F14,H12,F14 -> G13 -> H12,integer,182,I12,M12,I12 -> I11 -> J10 -> K10 -> L10 -> M11 -> M12,by,189,L12,M13,L12 -> M13,six,211,L14,N14,L14 -> M14 -> N14
50,6,21,False,True,ten ten ten integer by six,ten,205,A14,C14,A14 -> B13 -> C14,ten,198,C13,E14,C13 -> D14 -> E14,ten,209,F14,H12,F14 -> G13 -> H12,integer,182,I12,M12,I12 -> I11 -> J10 -> K10 -> L10 -> M11 -> M12,by,189,L12,M13,L12 -> M13,six,211,L14,N14,L14 -> M14 -> N14
49,6,19,True,True,find the start an go end,find,1,E1,H1,E1 -> F1 -> G1 -> H1,the,6,I1,J2,I1 -> J1 -> J2,start,7,K1,N1,K1 -> K2 -> L1 -> M1 -> N1,an,27,N2,M2,N2 -> M2,go,22,L2,K3,L2 -> K3,end,59,K4,K5,K4 -> L4 -> K5
49,6,19,True,True,find the start an go end,find,1,E1,H1,E1 -> F1 -> G1 -> H1,the,6,I1,J2,I1 -> J1 -> J2,start,7,K1,N1,K1 -> K2 -> L1 -> M1 -> N1,an,27,N2,M2,N2 -> M2,go,22,L2,K3,L2 -> K3,end,60,K4,K5,K4 -> L5 -> K5
49,6,19,True,True,find the start nine go a,find,1,E1,H1,E1 -> F1 -> G1 -> H1,the,6,I1,J2,I1 -> J1 -> J2,start,7,K1,N1,K1 -> K2 -> L1 -> M1 -> N1,nine,23,M2,K4,M2 -> M3 -> L4 -> K4,go,43,J3,K3,J3 -> K3,a,58,J4,J4,J4
49,6,25,True,True,integers find the start a nine,integers,85,D6,E2,D6 -> C5 -> B5 -> A4 -> B4 -> C4 -> D3 -> E2,find,1,E1,H1,E1 -> F1 -> G1 -> H1,the,6,I1,J2,I1 -> J1 -> J2,start,7,K1,N1,K1 -> K2 -> L1 -> M1 -> N1,a,25,N2,N2,N2,nine,23,M2,K4,M2 -> M3 -> L4 -> K4
49,6,25,True,True,integers find the start a nine,integers,85,D6,E2,D6 -> C5 -> B5 -> A4 -> B4 -> C4 -> D3 -> E2,find,1,E1,H1,E1 -> F1 -> G1 -> H1,the,6,I1,J2,I1 -> J1 -> J2,start,7,K1,N1,K1 -> K2 -> L1 -> M1 -> N1,a,25,N2,N2,N2,nine,24,M2,M5,M2 -> M3 -> L4 -> M5
48,6,25,True,True,decimal is ten ten ten integer,decimal,121,H7,B10,H7 -> G8 -> F9 -> E10 -> D10 -> C10 -> B10,is,156,C11,B12,C11 -> B12,ten,174,C12,C14,C12 -> B13 -> C14,ten,198,C13,E14,C13 -> D14 -> E14,ten,209,F14,H12,F14 -> G13 -> H12,integer,182,I12,M12,I12 -> I11 -> J10 -> K10 -> L10 -> M11 -> M12
48,6,25,True,True,decimal is ten ten ten integer,decimal,123,H7,D11,H7 -> G8 -> F9 -> E10 -> D10 -> C10 -> D11,is,156,C11,B12,C11 -> B12,ten,174,C12,C14,C12 -> B13 -> C14,ten,198,C13,E14,C13 -> D14 -> E14,ten,209,F14,H12,F14 -> G13 -> H12,integer,182,I12,M12,I12 -> I11 -> J10 -> K10 -> L10 -> M11 -> M12
