score,word_count,cell_count,has_verbish,has_nounish,phrase,word1,instance_id1,start1,end1,path1,word2,instance_id2,start2,end2,path2
7,2,6,True,False,is find,is,0,D1,E2,D1 -> E2,find,1,E1,H1,E1 -> F1 -> G1 -> H1
7,2,6,True,False,is find,is,0,D1,E2,D1 -> E2,find,2,E1,G2,E1 -> F1 -> G1 -> G2
3,2,4,True,False,is in,is,0,D1,E2,D1 -> E2,in,3,F1,G1,F1 -> G1
3,2,4,True,False,is of,is,0,D1,E2,D1 -> E2,of,11,F2,E1,F2 -> E1
3,2,4,True,False,is on,is,0,D1,E2,D1 -> E2,on,12,F2,G1,F2 -> G1
3,2,3,True,False,is a,is,0,D1,E2,D1 -> E2,a,39,F3,F3,F3
15,2,7,True,False,find the,find,1,E1,H1,E1 -> F1 -> G1 -> H1,the,5,I1,I2,I1 -> J1 -> I2
15,2,7,True,False,find the,find,1,E1,H1,E1 -> F1 -> G1 -> H1,the,6,I1,J2,I1 -> J1 -> J2
15,2,5,True,False,find a,find,1,E1,H1,E1 -> F1 -> G1 -> H1,a,13,H2,H2,H2
11,2,6,True,False,find at,find,1,E1,H1,E1 -> F1 -> G1 -> H1,at,17,H2,I1,H2 -> I1
15,2,5,True,False,find a,find,2,E1,G2,E1 -> F1 -> G1 -> G2,a,13,H2,H2,H2
15,2,5,True,False,find a,find,2,E1,G2,E1 -> F1 -> G1 -> G2,a,39,F3,F3,F3
11,2,6,True,False,find at,find,2,E1,G2,E1 -> F1 -> G1 -> G2,at,17,H2,I1,H2 -> I1
5,2,3,False,False,in a,in,3,F1,G1,F1 -> G1,a,13,H2,H2,H2
3,2,4,False,False,in of,in,3,F1,G1,F1 -> G1,of,11,F2,E1,F2 -> E1
3,2,4,False,False,in at,in,3,F1,G1,F1 -> G1,at,17,H2,I1,H2 -> I1
3,2,4,True,False,is of,is,4,F1,E2,F1 -> E2,of,11,F2,E1,F2 -> E1
3,2,4,True,False,is on,is,4,F1,E2,F1 -> E2,on,12,F2,G1,F2 -> G1
3,2,3,True,False,is a,is,4,F1,E2,F1 -> E2,a,39,F3,F3,F3
7,2,6,True,False,the get,the,5,I1,I2,I1 -> J1 -> I2,get,42,J3,K2,J3 -> J2 -> K2
7,2,5,True,False,the go,the,5,I1,I2,I1 -> J1 -> I2,go,43,J3,K3,J3 -> K3
3,2,6,False,False,the and,the,5,I1,I2,I1 -> J1 -> I2,and,15,H2,H1,H2 -> G1 -> H1
3,2,6,False,False,the and,the,5,I1,I2,I1 -> J1 -> I2,and,16,H2,G2,H2 -> G1 -> G2
3,2,5,False,False,the an,the,5,I1,I2,I1 -> J1 -> I2,an,14,H2,G1,H2 -> G1
3,2,4,False,False,the a,the,5,I1,I2,I1 -> J1 -> I2,a,13,H2,H2,H2
